Subject,out,in1,in2,in3,in4,in5
V344,2.772963049,0.377389336,0.042836978,0.122436471,0.094472326,0.312940208
V345,2.694392787,0.578626493,0.292524028,0.049034855,0.032199727,0.250962953
V346,9.723224241,0.254292975,0.112002495,0.523278707,0.08636763,1.465923927
V347,7.579775095,0.059841678,0.047361725,0.035232323,0.197877412,1.30560067
V348,2.468896912,0.234369798,0.432061074,0.081316528,0.211935238,0.055742886
V349,2.425974469,0.04410044,0.024739049,0.278724652,0.02959678,0.275566971
V350,3.503242287,0.650019503,0.047359496,0.106046115,0.362830518,0.197808675
V351,4.723850911,0.152641706,0.599925744,0.288755929,0.597919685,0.022682238
V352,3.519967061,0.362691098,0.049152854,0.503680222,0.288408861,0.078858829
V353,4.062505083,1.19517332,0.150688161,0.170760573,0.346814193,0.13328339
V354,2.029206196,0.086350493,0.290162471,0.310708506,0.105383252,0.001774447
V355,5.823061759,0.051613346,0.022217424,0.113864954,0.220964447,0.900312183
V356,2.015784854,0.118316022,0.135643546,0.147217287,0.175598831,0.096426911
V357,4.724558432,0.192436202,0.201274352,0.492326207,0.57208085,0.072854301
V358,4.392168407,0.189502622,0.382416189,0.302408679,0.252627105,0.30401979
V359,1.780705347,0.02647908,0.276006832,0.009994667,0.120464723,0.138073942
V360,2.897612864,0.05768342,0.174889414,0.025131316,0.463141952,0.112437772
V361,6.034257254,0.493779278,0.599248283,0.902084643,0.135061584,0.219096229
V362,6.273906465,0.711616719,0.587115057,0.136257941,0.239958421,0.603890425
V363,3.802959128,0.052698584,0.097520175,0.883088824,0.213539118,0.01035945
V364,1.74407652,0.139648428,0.254087099,0.236309171,0.034013679,0.050254333
V365,-4.927056019,111.9806436,0.17159777,-315.737826,3.029799466,0.308082219
V366,8.531345638,146.6083245,0.056051396,-326.8517552,4.733696015,0.088182104
V367,11.42491809,279.6541801,0.277675234,-358.8330086,1.19945516,0.063734834
V368,-12.77893672,-14.90877705,0.300718426,-310.6413293,0.385835891,0.026348939
V369,8.815860651,75.5758651,0.710813343,-380.463898,5.294542274,0.087175227
V370,-0.058001229,18.7614042,0.145062979,-328.8114265,4.289339392,0.146475342
V371,19.50792711,109.4082836,0.271034417,-330.8674666,5.280188243,0.059827491
V372,14.69519799,135.3051822,0.485190709,-325.9730402,0.86430529,0.40263542
V373,-8.834984464,114.7435496,0.752279521,-306.8171686,-0.049230528,0.341604026
V374,2.844584879,148.7670859,0.19726314,-276.8238458,3.490249906,0.078782352
V375,0.819521638,152.4626756,0.380481674,-309.4691707,3.685092164,0.054375562
V376,5.158574644,109.4815269,0.014368415,-278.3910691,5.797841337,0.026691344
V377,-1.053763889,233.4493283,0.002600273,-301.7879939,5.44269884,0.197136145
V378,-3.804587831,91.4322147,0.008362912,-344.7424428,3.160370114,0.036751085
V379,8.936347988,258.8409886,0.101808102,-239.3175324,1.727630335,0.057345738
V380,6.15191313,205.7575186,0.128311822,-313.1275612,1.732781749,0.022085746
V381,15.00908783,140.5933429,0.086982482,-273.2872788,0.673951292,0.242864562
V382,1.263513211,154.2961939,0.412056525,-306.1425007,1.299141011,0.133712552
V383,12.98357701,299.7852987,0.344570585,-300.6325023,0.989296397,0.07042505
V384,18.06340984,199.4057502,0.11288228,-308.3217075,3.064170002,0.266755891
V385,1.615037294,211.0401912,0.931436143,-266.5924412,1.955001981,0.093545878
V386,4.978061018,51.56148648,0.048701026,-232.0007971,3.501858754,0.035389786
V387,4.950809251,229.8647323,0.291110437,-293.8838188,1.161434144,0.009490924
V388,4.139856064,30.3402873,0.462839183,-221.4188902,2.098852067,0.029078618
V389,10.61829547,109.8056494,0.232240925,-288.6576296,-0.433551888,0.246083981
V390,12.45080103,156.9638496,0.031026904,-325.1838985,2.370411151,0.013412941
V391,8.446475816,196.488116,0.059335985,-261.1794003,0.606733351,0.022670824
V392,21.59581475,135.3282346,0.100707526,-335.7218053,3.77797324,0.097689846
V393,22.48338333,71.28117479,0.385346236,-300.7843706,1.783666782,0.2474187
V394,-32.81540107,85.76612171,0.293925084,-273.9723657,1.409169645,0.011329968
V395,4.326493807,-30.6546258,0.191021844,-213.0759309,0.934802248,0.12915067
V396,0.79537023,-12.01941158,0.018096537,-313.9736512,1.160240397,0.150317795
V397,2.075592085,23.29308542,0.219425724,-293.9017068,2.371657885,0.364674898
V398,18.05446538,151.6184006,0.32586009,-254.0850643,4.401997332,0.007354499
V399,-0.886451563,62.75972787,0.211091381,-294.0104747,-0.826701993,0.128842464
V400,-9.10345417,175.299102,0.129975259,-277.3521371,4.852889363,0.172544145
V401,5.873994017,-12.10561459,0.036471274,-336.8479065,0.202963947,0.054535772
V402,19.96573408,54.30895353,0.218924895,-278.9309687,2.544439277,0.082407922
V403,-0.262424979,-44.09744203,1.138848071,-255.7102544,1.009873599,0.038792596
V404,-16.01982868,170.2414525,0.070833612,-339.578226,4.770496149,0.113458849
V405,7.720172316,18.75565959,0.029669177,-322.8917646,-0.487097719,0.066107509
V406,5.757325683,96.28504957,0.479302518,-312.9030634,3.728827031,0.061366671
V407,28.3084085,-0.820745865,1.109600385,-280.1675181,1.71813426,0.01594558
V408,-2.44660448,71.18448222,0.122057238,-305.2998179,-0.22073866,0.127290742
V409,16.88239609,162.4760736,0.281627477,-269.0481421,2.41359054,0.025740742
V410,-14.68410465,259.3063853,0.479128072,-289.8923397,3.493525388,0.029835909
V411,19.22074247,46.07694072,0.036647003,-296.8955817,5.9971061,0.00824106
V412,3.420585151,69.4016573,0.082736913,-331.1168386,0.66855077,0.042092242
V413,-3.536314538,136.388483,0.333203709,-318.3012289,4.407939065,0.019546988
V414,6.51031605,164.7129479,0.349727518,-313.9219911,2.512875197,0.119260655
V415,8.123277051,-26.16826565,0.187483399,-336.8298197,0.500968868,0.059007668
V416,2.233731845,223.0147717,0.451246639,-330.6403877,5.086536932,0.010564845
V417,-0.960108776,-28.18123447,0.054360593,-266.938764,5.919447983,0.297940617
V418,-18.92049057,38.93652282,0.91006333,-296.5919312,4.293462174,0.151615711
V419,-4.900999213,245.572196,0.710009949,-230.6935575,-0.409276604,0.089627441
V420,-6.638645048,256.1078258,1.121405301,-269.2533531,2.108784403,0.058412157
V421,2.875901611,148.4697666,0.184895263,-296.956283,2.124338631,0.006907674
V422,20.05431366,-33.65278905,0.875577004,-330.7609499,3.961295439,0.051961604
V423,5.572919935,56.53353356,0.085500967,-265.160566,5.203235484,0.066387312
V424,4.15088328,157.3325605,0.093522228,-288.1319679,1.474328196,0.018605625
V425,-4.9141068,148.6042892,0.401650717,-303.2856318,0.540091621,0.177494706
V426,3.384633789,95.51578845,0.094797177,-300.7764919,0.734661871,0.625947892
V427,23.33658574,106.943376,0.008460498,-306.7139,5.956502863,0.123519663
V428,10.56102643,231.8821316,0.210141119,-275.8645219,5.079548261,0.006870569
V429,-1.58326473,235.495529,0.295131174,-322.6027639,5.124966939,0.065363205
V430,-12.68570703,226.7737117,0.316676661,-331.577637,0.268894608,0.203099207
V431,-5.63144779,70.71660224,0.700782811,-321.5600111,4.211217752,0.512126772
V432,9.32157696,256.5352735,0.148048704,-297.6752251,-0.096742617,0.108896449
V433,-12.409241,187.035597,0.135105535,-326.6480925,0.104245319,0.020911273
V434,10.13218139,273.7258897,0.703070445,-284.8569356,2.026525489,0.113643783
V435,-6.58241837,234.0279985,0.382927328,-375.1284797,-0.642600699,0.065387388
V436,12.63101979,143.9992546,0.472510434,-232.3482571,4.911285336,0.019370187
V437,10.16279276,118.2592512,0.58926444,-313.3335755,5.21106007,0.017970226
V438,-12.61295488,183.5986302,0.173830261,-290.3762839,-0.495741929,0.073926266
V439,9.454740374,253.4942089,0.015910246,-284.1552082,0.612320795,0.043394396
V440,9.187442158,141.8577574,0.243061609,-282.035518,2.170944884,0.077372942
V441,-5.52406128,114.3148712,0.112241606,-264.1288426,2.25568576,0.100026281
V442,-17.54596436,120.6298895,0.192136508,-334.968632,2.879384446,0.001880433
V443,3.410021504,-43.48480836,0.038149276,-358.4564581,2.046108452,0.031366534
V444,6.131678004,-32.92125586,0.028904098,-266.213666,4.404167955,0.120638369
V445,10.64433527,26.88998996,0.105259146,-325.7148141,4.8075136,0.02847597
V446,12.73688911,204.6923815,0.097209231,-260.2539779,5.813586323,0.007536716
V447,0.955894175,254.9445675,0.850808248,-282.6578513,-0.70115966,0.080658058
V448,1.832503468,103.4214119,0.178535685,-319.5647359,1.368589974,0.039256792
V449,2.522929627,56.04781795,0.008020327,-329.8602079,1.394203839,0.007254982
V450,-3.927547855,243.3805339,0.165264655,-247.8130529,-0.478805016,0.046431528
V451,17.9991245,184.6552553,0.067493631,-285.5993552,-0.666730246,0.022794046
V452,3.34223792,61.10700184,0.392086024,-248.2215221,2.566629552,0.062446471
V453,2.925753756,112.2357577,0.196070849,-318.6834328,2.215835219,0.009645035
V454,14.16575463,-5.853018502,0.614319653,-323.9396518,1.089198058,0.022598187
V455,-6.130717094,261.9191311,0.542177,-228.4160271,0.622753936,0.037726144
V456,7.069239545,10.436951,0.16036716,-318.570417,2.135914975,0.090196986
V457,3.302142418,-32.74290061,0.124153852,-299.4969983,5.28105681,0.187178046
V458,6.821242094,58.74247111,0.030891823,-280.8182686,4.425677244,0.460356747
V459,-26.33605449,90.13400788,0.106057422,-384.2232466,-0.835758059,0.18388412
V460,13.06631222,159.0685484,0.481416584,-300.1745983,4.162439559,0.032142974
V461,5.017471228,43.84550268,0.31511454,-240.2400154,2.533304777,0.01994341
V462,0.825879667,-38.4664334,0.091954219,-310.2710844,0.138708445,0.200574641
V463,8.213150465,208.2219525,0.047340761,-303.4629736,0.460679619,0.2855021
V464,0.085716044,181.0034764,0.052471429,-301.5647743,0.593972442,0.224193761
V465,18.98868366,47.13618716,0.059037443,-326.5183157,1.063429003,0.165986109
V466,8.842938159,20.95790887,0.06097615,-232.2020516,1.198621626,0.191153035
V467,29.36568231,130.0235141,0.096001747,-323.3064729,2.006064024,0.006776793
V468,0.901878708,64.51779011,0.998767711,-294.7249809,0.949437225,0.147645531
V469,0.573353538,208.4636542,0.233498112,-294.3087981,3.959897308,0.001730219
V470,14.21089981,-14.30159039,0.018821552,-337.9289107,1.908420177,0.064529249
V471,-9.87780928,-8.811216091,0.357805071,-303.0292698,4.393452814,0.030088231
V472,10.82080514,266.8662635,0.424320544,-270.5415207,4.287432849,0.120909101
V473,-6.867376468,172.9342684,0.03057195,-292.7606789,1.315749774,0.007041983
V474,-3.475992882,275.9691704,0.376605124,-325.9575314,4.185871708,0.063738257
V475,7.754377897,38.96662191,0.023738565,-293.4771996,5.691403569,0.260155173
V476,3.248997949,216.8999433,0.404888097,-317.5927834,2.834026922,0.202711391
V477,-9.742818277,-22.29124041,1.283575986,-290.4468996,-0.928829477,0.002811547
V478,17.84741555,27.98628811,0.955793248,-294.0303791,0.275572711,0.135511548
V479,12.60033723,208.7452309,0.335214701,-326.3323092,3.920408822,0.066385349
V480,3.337073209,253.0504035,0.286957881,-289.1791296,4.632070279,0.016153032
V481,9.538992115,23.23767311,0.127421434,-357.7128805,-0.528537211,0.157696888
V482,-12.18839571,179.5891431,0.147980738,-330.1360755,0.926592835,0.16461902
V483,14.2066844,241.4364564,0.28719079,-348.5224899,3.102811769,0.094097317
V484,-0.128342763,209.9351379,0.037904168,-240.6732606,0.020519272,0.0536126
